,Book-Title,Average-Rating,Count-Ratings,ISBN,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Synopsis
0,1984,3.53,101,0451524934,George Orwell,1990,Signet Book,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg,"In nineteen minutes, you can mow the front lawn, color your hair, watch a third of a hockey game. In nineteen minutes, you can bake scones or get a tooth filled by a dentist; you can fold laundry for a family of five....In nineteen minutes, you can stop the world, or you can just jump off it. In nineteen minutes, you can get revenge. Sterling is a small, ordinary New Hampshire town where nothing ever happens -- until the day its complacency is shattered by a shocking act of violence. In the aftermath, the town's residents must not only seek justice in order to begin healing but also come to terms with the role they played in the tragedy. For them, the lines between truth and fiction, right and wrong, insider and outsider have been obscured forever. Josie Cormier, the teenage daughter of the judge sitting on the case, could be the state's best witness, but she can't remember what happened in front of her own eyes. And as the trial progresses, fault lines between the high school and the adult community begin to show, destroying the closest of friendships and families. Nineteen Minutes is New York Times bestselling author Jodi Picoult's most raw, honest, and important novel yet. Told with the straightforward style for which she has become known, it asks simple questions that have no easy answers: Can your own child become a mystery to you? What does it mean to be different in our society? Is it ever okay for a victim to strike back? And who -- if anyone -- has the right to judge someone else?"
1,1st to Die: A Novel,2.48,228,0446610038,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg,"Four crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series.Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started working the crime desk of the San Francisco Chronicle.But the usual procedures aren't bringing them any closer to stopping the killings. So these women form a Women's Murder Club to collaborate outside the box and pursue the case by sidestepping their bosses and giving each other a hand. The four women develop intense bonds as they pursue a killer whose crimes have stunned an entire city. Working together, they track down the most terrifying and unexpected killer they have ever encountered--before a shocking conclusion in which everything they knew turns out to be devastatingly wrong.Full of the breathtaking drama and unforgettable emotions for which James Patterson is famous, 1st to Die is the start of the #1 New York Times bestselling series of crime thrillers."
2,2010: Odyssey Two,1.67,58,0345303067,Arthur C. Clarke,1984,Del Rey Books,http://images.amazon.com/images/P/0345303067.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345303067.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345303067.01.LZZZZZZZ.jpg,"When 2001: A Space Odyssey first shocked, amazed, and delighted millions in the late 1960s, the novel was quickly recognized as a classic. Since then, its fame has grown steadily among the multitudes who have read the novel or seen the film based on it. Yet, along with almost universal acclaim, a host of questions has grown more insistent through the years:Who or what transformed Dave Bowman into the Star-Child? What purpose lay behind the transformation? What would become of the Star-Child?What alien purpose lay behind the monoliths on the Moon and out in space?What could drive HAL, a stable, intelligent computer, to kill the crew? Was HAL really insane? What happened to HAL and the spaceship Discovery after Dave Bowman disappeared?Would there be a sequel?Now all those questions and many more have been answered. In this stunning sequel to his international bestseller, Clarke has written what will truly be one of the great books of the '80s. Cosmic in sweep, eloquent in its depiction of Man's place in the Universe, and filled with the romance of space, this novel is a monumental achievement."
3,204 Rosewood Lane,1.62,50,1551669293,Debbie Macomber,2002,Mira,http://images.amazon.com/images/P/1551669293.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551669293.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551669293.01.LZZZZZZZ.jpg,"Grace Sherman204 Rosewood LaneCedar Cove, WashingtonDear Listener,If you've been to Cedar Cove before we've probably met. You can usually find me either at home or at the public library, where I work. I've lived in this town all my life and raised two daughters here. But my husband and I - well, about six months ago, he disappeared. Just…disappeared. Where's Dan? Why did he go? Who's he with? Will I ever find out? My hometown, my family and friends, bring me comfort during this difficult time. Comfort and a sense of shelter. I'm continually reminded that life can and does go on. For instance, everyone's been discussing weddings and babies lately. Justine - the only daughter of my best friend, Olivia Lockhart - impulsively got married a little while ago. My own daughter Kelly recently had a baby. Unfortunately, she refuses to accept that Dan might not return to see his first grandchild. My older daughter, Maryellen, is more realistic. I think she's seeing a new man, but for some reason she won't tell me who it is.Then there's Jack, who's been pursuing a romance with Olivia, and his son, Eric, and Eric's girlfriend, Shelly (I think she's pregnant), and Zach and Rosemary Cox, whose marriage is reputedly on the skids and…Well, just come on over and we'll talk!Grace"
4,24 Hours,1.6,52,0451203593,Greg Iles,2001,Signet Book,http://images.amazon.com/images/P/0451203593.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451203593.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451203593.01.LZZZZZZZ.jpg,"24 HOURS --- that's how long it takes a madman to pull off the perfect crime. He's done it before, he'll do it again, and no one can stop him. But this time, he's just picked the wrong family to terrorize. Because Will and Karen Jennings aren't going to watch helplessly as he victimizes them. And they aren't going to let him get away with it."
5,2nd Chance,2.43,177,0316693200,James Patterson,2002,"Little, Brown",http://images.amazon.com/images/P/0316693200.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693200.01.LZZZZZZZ.jpg,"The Women's Murder Club returns for another thrilling crime investigation. Will their skills be enough to take down a brutal madman?A brutal madman sprays bullets into a crowd of children leaving a San Francisco church. Miraculously-or was it intentionally?-only one person dies. Then an elderly black woman is hung. Police homicide inspector Lindsay Boxer senses a connection and together with medical examiner Claire, assistant D. A. Jill, and Chronicle reporter Cindy, finds a link that sends a chill through the entire nation. This killer's motives are unspeakable.In this ""inventive"" installment of the Women's Murder Club, James Patterson proves once again why he is the #1 master of the murder mystery (Sunday Times)."
6,4 Blondes,1.18,84,0451203895,Candace Bushnell,2002,Signet Book,http://images.amazon.com/images/P/0451203895.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451203895.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451203895.01.LZZZZZZZ.jpg,"Now in paperback comes the sexy, funny, and page-turning bestseller from the author of ""Sex and the City. 4 Blondes"" brings together the stories of four modern women to render a vivid portrait of New York at the millennium."
7,84 Charing Cross Road,4.66,62,0860074382,Helene Hanff,0,Warner Books> C/o Little Br,http://images.amazon.com/images/P/0860074382.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0860074382.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0860074382.01.LZZZZZZZ.jpg,"This charming classic, first published in 1970, brings together twenty years of correspondence between Helene Hanff, a freelance writer living in New York City, and a used-book dealer in London. Through the years, though never meeting and separated both geographically and culturally, they share a winsome, sentimental friendship based on their common love for books. Their relationship, captured so acutely in these letters, is one that will grab your heart and not let go."
8,A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),2.06,52,1558743316,Jack Canfield,1994,Health Communications,http://images.amazon.com/images/P/1558743316.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743316.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743316.01.LZZZZZZZ.jpg,"The runaway bestseller ""Chicken Soup for the Soul"" captured the imagination of millions of readers with its uplifting message of hope and inspiration. With a nation still hungering for more good news, Canfield and Hansen went back to work and cooked up another batch of life-affirming stories to warm your heart and soothe your soul.Through the experiences of others, readers from all walks of life can learn the gift of love, the power of perseverance, the joy of parenting and the vital energy of dreaming. Share the magic that will change forever how you look at yourself and the world around you.Special contributions from M. Scott Peck, Ann Landers, Art Linkletter, Harold Bloomfield and many others are included."
9,A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,1.95,64,0743224574,Sylvia Nasar,2001,Simon &amp; Schuster,http://images.amazon.com/images/P/0743224574.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743224574.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743224574.01.LZZZZZZZ.jpg,"Stories of famously eccentric Princetonians abound—such as that of chemist Hubert Alyea, the model for The Absent-Minded Professor, or Ralph Nader, said to have had his own key to the library as an undergraduate. Or the ""Phantom of Fine Hall,"" a figure many students had seen shuffling around the corridors of the math and physics building wearing purple sneakers and writing numerology treatises on the blackboards. The Phantom was John Nash, one of the most brilliant mathematicians of his generation, who had spiraled into schizophrenia in the 1950s. His most important work had been in game theory, which by the 1980s was underpinning a large part of economics. When the Nobel Prize committee began debating a prize for game theory, Nash's name inevitably came up—only to be dismissed, since the prize clearly could not go to a madman. But in 1994 Nash, in remission from schizophrenia, shared the Nobel Prize in economics for work done some 45 years previously.Economist and journalist Sylvia Nasar has written a biography of Nash that looks at all sides of his life. She gives an intelligent, understandable exposition of his mathematical ideas and a picture of schizophrenia that is evocative but decidedly unromantic. Her story of the machinations behind Nash's Nobel is fascinating and one of very few such accounts available in print (the CIA could learn a thing or two from the Nobel committees)."
